"","community","wk","count"
"1","ALBANY PARK",1,0
"2","ARCHER HEIGHTS",1,0
"3","ARMOUR SQUARE",1,0
"4","ASHBURN",1,2
"5","AUBURN GRESHAM",1,2
"6","AUSTIN",1,9
"7","AVALON PARK",1,0
"8","AVONDALE",1,2
"9","BELMONT CRAGIN",1,1
"10","BEVERLY",1,0
"11","BRIDGEPORT",1,0
"12","BRIGHTON PARK",1,1
"13","BURNSIDE",1,0
"14","CALUMET HEIGHTS",1,2
"15","CHATHAM",1,1
"16","CHICAGO LAWN",1,1
"17","CLEARING",1,0
"18","DOUGLAS",1,0
"19","DUNNING",1,1
"20","EAST GARFIELD PARK",1,2
"21","EAST SIDE",1,1
"22","EDGEWATER",1,0
"23","EDISON PARK",1,0
"24","ENGLEWOOD",1,5
"25","FOREST GLEN",1,0
"26","FULLER PARK",1,0
"27","GAGE PARK",1,1
"28","GARFIELD RIDGE",1,0
"29","GRAND BOULEVARD",1,0
"30","GREATER GRAND CROSSING",1,2
"31","HEGEWISCH",1,0
"32","HERMOSA",1,0
"33","HUMBOLDT PARK",1,2
"34","HYDE PARK",1,0
"35","IRVING PARK",1,1
"36","JEFFERSON PARK",1,0
"37","KENWOOD",1,1
"38","LAKE VIEW",1,1
"39","LINCOLN PARK",1,1
"40","LINCOLN SQUARE",1,0
"41","LOGAN SQUARE",1,0
"42","LOOP",1,0
"43","LOWER WEST SIDE",1,1
"44","MCKINLEY PARK",1,0
"45","MONTCLARE",1,0
"46","MORGAN PARK",1,0
"47","MOUNT GREENWOOD",1,0
"48","NEAR NORTH SIDE",1,2
"49","NEAR SOUTH SIDE",1,1
"50","NEAR WEST SIDE",1,0
"51","NEW CITY",1,1
"52","NORTH CENTER",1,0
"53","NORTH LAWNDALE",1,2
"54","NORTH PARK",1,0
"55","NORWOOD PARK",1,1
"56","OAKLAND",1,0
"57","OHARE",1,1
"58","PORTAGE PARK",1,0
"59","PULLMAN",1,0
"60","RIVERDALE",1,0
"61","ROGERS PARK",1,1
"62","ROSELAND",1,1
"63","SOUTH CHICAGO",1,2
"64","SOUTH DEERING",1,0
"65","SOUTH LAWNDALE",1,0
"66","SOUTH SHORE",1,5
"67","UPTOWN",1,0
"68","WASHINGTON HEIGHTS",1,0
"69","WASHINGTON PARK",1,3
"70","WEST ELSDON",1,1
"71","WEST ENGLEWOOD",1,5
"72","WEST GARFIELD PARK",1,1
"73","WEST LAWN",1,0
"74","WEST PULLMAN",1,0
"75","WEST RIDGE",1,1
"76","WEST TOWN",1,3
"77","WOODLAWN",1,3
"78","ALBANY PARK",2,1
"79","ARCHER HEIGHTS",2,0
"80","ARMOUR SQUARE",2,1
"81","ASHBURN",2,3
"82","AUBURN GRESHAM",2,3
"83","AUSTIN",2,4
"84","AVALON PARK",2,0
"85","AVONDALE",2,3
"86","BELMONT CRAGIN",2,3
"87","BEVERLY",2,0
"88","BRIDGEPORT",2,1
"89","BRIGHTON PARK",2,2
"90","BURNSIDE",2,0
"91","CALUMET HEIGHTS",2,0
"92","CHATHAM",2,1
"93","CHICAGO LAWN",2,2
"94","CLEARING",2,0
"95","DOUGLAS",2,2
"96","DUNNING",2,0
"97","EAST GARFIELD PARK",2,0
