"","X32"
"1",33.6666666666667
"2",15.2857142857143
"3",30.8571428571429
"4",35.5714285714286
"5",32
"6",28
"7",25.8571428571429
"8",18.1428571428571
"9",20.8571428571429
"10",32.1428571428571
"11",56.4285714285714
"12",49.7142857142857
"13",37.8571428571429
"14",61.8571428571429
"15",60.1428571428571
"16",67.4285714285714
"17",52.5714285714286
"18",63.7142857142857
"19",69.8571428571429
"20",68.4285714285714
"21",66.4285714285714
"22",73.5714285714286
"23",72.8571428571429
"24",81.2857142857143
"25",76
"26",77.8571428571429
"27",75.8571428571429
"28",77.7142857142857
"29",83.5714285714286
"30",84.2857142857143
"31",88.5714285714286
"32",82
"33",86.1428571428571
"34",80
"35",72.7142857142857
"36",88.2857142857143
"37",74.5714285714286
"38",78.5714285714286
"39",76
"40",62.2857142857143
"41",69.5714285714286
"42",62.5714285714286
"43",68
"44",55.8571428571429
"45",64.7142857142857
"46",57
"47",46.7142857142857
"48",46.4285714285714
"49",42.8571428571429
"50",52
"51",43.4285714285714
"52",45.7142857142857
"53",32.4285714285714
